Response,Predictor,Estimate,Std.Error,DF,Crit.Value,P.Value,Std.Estimate,""
trout,avg_max_depth,11.022,4.7679,46,2.3117,0.0208,0.8011,*
och,trout,-1.4645,0.0574,46,-25.4935,0,-0.7858,***
och,avg_max_depth,0.304,0.1293,46,2.3519,0.0187,0.0866,*
och,avg_daily_disch_nr_nrst_gage,0.5198,0.4669,46,1.1133,0.2656,0.0274,
coll_gath,och,-0.0031,2e-4,46,-13.0001,0,-0.5012,***
coll_gath,trout,0.1234,0.0735,46,1.6771,0.0935,0.0617,
coll_gath,algae_cpom_wet_wt,0.0032,1e-4,46,39.4294,0,0.6289,***
coll_gath,avg_max_depth,0.6354,0.1533,46,4.1451,0,0.1688,***
coll_gath,avg_daily_disch_nr_nrst_gage,3.5897,0.7845,46,4.5758,0,0.1767,***
grazer,trout,-0.3676,0.0899,46,-4.0874,0,-0.1827,***
grazer,avg_max_depth,-1.2081,0.2646,46,-4.5659,0,-0.3187,***
grazer,algae_cpom_wet_wt,0.002,1e-4,46,13.5347,0,0.3908,***
grazer,avg_daily_disch_nr_nrst_gage,-4.0404,1.1468,46,-3.523,4e-4,-0.1975,***
algae_cpom_wet_wt,avg_daily_disch_nr_nrst_gage,1.5267,0.7764,46,1.9665,0.0492,0.0352,*
