code,month,year,trout,avg_daily_disch_nr_nrst_gage,total_inverts,rarified_taxa,biotic_index,thermal_index,total_amphibians,och,trichoptera,ephemerop,coll_gath,coll_filt,filter_lent,grazer,predator,shredder
aho,6,2009,present,0.005,135,15.4,0.3415,15.854,0,15,65,42,40,0,0,7,21,66
ecm,6,2009,absent,0.005,445,12.1,2.4836,16.0644,18,157,78,20,20,0,0,193,175,73
ref,6,2009,absent,0.0051,750,12.3,2.949,17.078,4,473,111,35,29,0,0,101,512,109
rom,6,2009,absent,0.0134,993,13.1,1.3286,16.5974,1,620,282,76,54,1,0,25,628,282
sjo,6,2009,present,0.0203,274,14.6,1.9115,16.5711,0,55,71,122,122,0,0,29,53,70
sou,6,2009,absent,0.0051,665,16.9,2.9116,15.9301,4,300,141,184,167,0,0,78,270,138
sys,6,2009,present,0.0134,374,14.1,1.4323,17.7751,2,195,149,19,20,0,0,28,178,148
aho,6,2010,present,0.0675,274,10.9,0.9987,15.7976,1,24,58,190,190,0,0,1,27,57
ecm,6,2010,absent,0.0675,427,13.5,2.3488,16.0687,11,179,73,166,165,1,0,23,181,68
ref,6,2010,absent,0.0681,655,13.9,3.7711,16.1837,102,370,88,163,164,4,0,113,392,84
rom,6,2010,absent,0.0429,536,14.5,0.4906,15.8768,9,200,242,67,63,7,0,14,222,237
sjo,6,2010,present,0.0776,306,10.8,1.3,15.9384,1,17,24,254,254,1,0,4,19,29
sol,6,2010,absent,0.0681,493,15.7,1.567,16.1809,9,220,121,135,111,3,0,57,210,118
sys,6,2010,present,0.0429,196,17.2,1.6051,17.1163,0,51,108,28,28,3,0,11,47,107
aho,6,2011,present,0.1347,226,9.3,0.9814,16.2553,0,5,47,173,169,1,0,5,6,45
ecm,6,2011,absent,0.1338,350,12.5,2.4946,16.2331,2,171,70,102,96,0,0,13,172,67
ref,6,2011,absent,0.1319,394,12.6,2.5554,16.082,1,182,112,95,87,1,0,14,183,110
rom,6,2011,absent,0.0604,884,8.2,0.8389,15.7855,1,40,646,187,186,2,0,5,49,643
sjo,6,2011,present,0.2062,123,10.9,0.8362,16.1188,0,9,9,98,98,1,0,1,8,15
sou,6,2011,absent,0.1319,347,11.6,2.7058,15.6042,7,138,82,117,112,1,0,12,147,82
sys,6,2011,present,0.0604,387,9.6,0.8035,15.8003,0,18,308,60,46,0,0,18,19,304
aho,6,2012,present,0.0028,339,10.4,0.8015,15.538,0,15,188,129,126,0,4,9,12,187
ecm,6,2012,absent,0.0029,601,14.3,2.8707,16.0473,0,408,115,66,63,0,0,32,406,100
gob,6,2012,present,0.0055,387,10.2,1.1067,15.6171,0,21,266,84,82,0,1,8,34,262
myg,6,2012,present,0.0122,326,11.9,1.1987,17.4459,0,40,212,28,28,0,0,55,28,211
ref,6,2012,absent,0.0028,653,12.5,2.8956,16.4904,0,325,209,41,38,0,1,79,330,205
rom,6,2012,absent,0.0058,583,13.3,2.0582,15.8814,5,165,308,44,36,1,0,15,231,304
sjo,6,2012,present,0.0129,326,10.8,1.2932,16.1426,0,48,142,112,109,1,0,47,28,141
sol,6,2012,absent,0.0028,761,12.7,0.5286,16.1164,4,269,322,119,116,0,1,57,272,319
sys,6,2012,present,0.0058,342,10.4,0.7958,16.1949,0,37,267,25,20,0,0,25,34,263
aho,6,2013,present,0.0101,656,13.3,2.2542,18.3819,1,73,166,362,347,0,2,77,71,160
gob,6,2013,present,0.0039,2185,9.6,5.9416,18.0862,4,122,153,39,39,0,1851,7,138,153
myg,6,2013,present,0.0121,555,10.3,2.0239,18.4652,0,60,223,178,178,0,4,91,56,222
ref,6,2013,absent,0.0101,734,11.8,2.2343,17.0052,2,286,231,60,60,0,8,97,340,231
rom,6,2013,absent,0.0039,5252,13.1,6.4436,18.1568,24,359,92,65,64,1,4591,147,387,84
sjo,6,2013,present,0.0121,430,11.2,1.5249,17.0262,0,79,131,135,135,0,1,86,81,125
sou,6,2013,absent,0.01,1001,10.7,2.9258,16.7137,5,369,382,194,196,0,0,33,395,382
sys,6,2013,absent,0.0039,658,9,1.7575,17.2248,1,85,345,15,16,0,93,124,83,343
aho,6,2014,present,0.0045,410,11.7,2.3859,19.7077,1,21,30,260,260,1,64,32,24,30
gob,6,2014,absent,0.0021,212,8.8,2.881,17.8143,9,81,10,19,19,0,98,4,90,10
myg,6,2014,present,0.0063,370,10.5,2.6479,18.3413,0,33,83,230,230,0,0,16,40,83
ref,6,2014,absent,0.0044,888,12,3.9417,17.6331,0,320,285,74,74,0,56,112,361,285
rom,6,2014,absent,0.0021,1089,11.3,5.0569,17.6544,26,261,71,88,89,0,544,122,288,71
sjo,6,2014,present,0.0063,407,12,2.0061,16.9058,0,69,187,97,97,0,20,37,68,184
sys,6,2014,absent,0.0021,259,10.9,2.2048,17.4204,9,77,84,5,5,0,52,51,76,84
taj,6,2014,absent,0.0045,613,11.5,2.7233,17.4811,29,475,20,56,56,0,27,54,471,20
aho,6,2015,absent,0.0014,566,10,3.1581,16.1917,6,81,58,160,159,0,128,135,93,57
gob,6,2015,absent,4e-04,419,9.2,3.0973,17.7559,14,116,25,200,201,0,73,14,120,25
myg,6,2015,present,0.012,704,10.5,3.6645,17.267,4,56,197,406,406,0,8,24,70,195
rom,6,2015,absent,4e-04,1236,11.1,4.7807,17.7137,16,278,181,48,48,0,659,57,308,179
sjo,6,2015,present,0.012,274,11.4,1.4475,17.1908,0,45,165,36,36,1,7,20,45,164
sys,6,2015,absent,4e-04,213,9.2,1.3005,16.9812,117,35,95,2,6,0,29,169,30,95
taj,6,2015,absent,0.0013,608,14.6,1.3543,17.8534,20,253,25,42,49,0,138,131,267,26
aho,6,2016,absent,0.0046,378,11.1,4.2918,16.455,13,212,15,96,96,0,20,33,227,15
myg,6,2016,present,0.0104,332,10.5,1.4623,18.4322,0,61,83,151,151,0,4,25,69,83
rom,6,2016,absent,1e-04,2833,11.5,4.6206,17.9538,31,264,298,24,24,1,2116,130,293,298
sjo,6,2016,absent,0.0106,241,11,2.5453,17.9982,8,120,64,19,19,0,17,25,122,65
sys,6,2016,absent,1e-04,439,10.7,1.9207,16.3007,109,93,232,12,14,0,51,159,92,232
taj,6,2016,absent,0.004,1221,8.9,5.4421,15.044,7,70,2,215,215,0,847,36,110,2
aho,6,2017,present,0.1583,915,8.5,4.4074,15.8568,11,12,145,746,746,1,0,11,25,143
gob,6,2017,absent,0.0149,376,10.1,4.5994,16.084,24,330,17,26,26,0,0,14,342,17
myg,6,2017,present,0.1237,250,14.7,0.2853,17.8069,3,34,66,102,102,0,0,25,59,65
