Response variables,Trout presence,BRI,BRB and BDF,Flow,Drying duration,
Environmental,,Many effects only in first two years,"Recovery depends on recovery of vegetation, geomorphology",,,BDF effects last longer than BRB effects
Avg max depth,Inc driver,Dec,Dec,Inc,Dec,
Flowindex*,Inc driver,Inc,Inc,,,
Canopy cover,Inc driver,Same,Dec,Inc,Dec,
Conductivity,Dec maybe driver,Dec,Inc,Dec,Inc,
Temperature,Dec driver,Same,Inc,Dec,Inc,
DO,Inc driver and response because related to  algae,Inc (flow),Inc (alg),Inc,Dec,
CPOM*,Inc,Dec,Dec,Dec,Inc (accumulation) or dec (rip  veg dec),
Fil algae*,Inc,Dec,Inc,Inc,Inc,
,,,,,,
"Total, indices",,,,,,
Total inverts,Dec,Dec,Inc (alg),Inc,Dec,
Total amphibians,Dec,Dec,Inc,Dec,Inc,
Rarefied Richness,Dec,Dec,Dec,Inc,Dec,
Pielou's J,Inc,Dec,Dec,Inc,Dec,
Biotic index,Dec assoc,Same,Inc,Dec,Inc,
Thermal index,Dec assoc,Same,Inc,Dec,Inc,
,,,,,,
Taxonomic,,,,,,
EPT,Same or Inc (f cascade),Dec,Inc (driven by baetids),Inc,Dec,
Ephemerop,Inc,Dec,Inc,Inc,Dec,
Trichopters,Same,Dec,Dec,Inc,Dec,
OCH,Dec,Dec,Dec,Dec,Inc,
Megaloptera ,Same,Dec,Dec,Same,Inc,
Diptera,Same or Inc (if cascade),Dec,Inc,,Inc,
Turbellaria ,,,,,,
Mollusks ,Same,Dec,Dec then inc,Dec,Inc,
,,,,,,
Functional group,,,,,,
Coll-gath,Same or Inc (if cascade),Dec,Inc,Inc,Dec,
Coll-filt,Same,Inc,Inc,Inc,Dec,
Filter-lent,Dec,Dec,Dec,Dec,Inc,
Grazer,Same or Inc (if cascade),Dec,Inc,Inc,Dec,
Predator,Dec,Dec,Dec,Dec,Inc,
Shredder,Same,Dec,Dec,Dec,Dec,
,,,,,,
Life cycle,,,,,,
Semi,Dec,Dec,Dec,Inc,Dec,
Uni,,Dec,,Inc,,
Multi,Same or Inc (f cascade),Inc,Inc,Inc,Inc,
,,,,,,
Development rate,,,,,,
Fast seas,Inc,Dec,Inc,Inc,Dec,
Non-seas,Dec,Dec,Dec,Dec,Dec,
,,,,,,
Body size,,,,,,
small,Inc,Inc,Inc,Inc,Inc,
medium,Same,Same,Same,Inc,Dec,
large,Dec,Dec,Dec,Inc,Dec,
,,,,,,
Erosional/depositional,,,,,,
Pool,Dec,Dec,Dec,Dec,Inc,
Mixed,Same,Inc,Inc,Inc,Dec,
Riffle,Same,Inc,Inc,Inc,Dec,
,,,,,,
Flight,,,,,,
No wings,,Dec,Dec,Inc,Dec,
Weak flight,,Same,Same,Inc,Dec,
Strong flight,,Inc,Inc,,Inc,
,,,,,,
Drift,,,,,,
Rare drift,,Dec,Dec,Inc,Dec,
Occ-common drift,,Dec,Dec,Inc,Dec,
Abundant drift,,Inc,Inc,Inc,Dec,
,,,,,,
Breathing,,,,,,
Cutaneous resp,Inc assoc,Dec,Inc,Inc,Dec,
Gills,Inc assoc,Dec,Inc,Inc,Dec,
Atmospheric breath,Dec,Dec,Dec,Dec,Inc,
