1,Sitetime,Stream,code,Month,year,Stream#,Date,Fire,Rip M-H burn,Rip burn,Basin M-H burn,Basin burn,burn debris,BurnDfRef,trout,Burntrtref,Burn trout,Burn trout  w all,yrs code,StreamDried,NEW Gage,SAN JOSE DISCHARGE,SAN JOSEAvg Daily Disch,SAN JOSE Max disch,DOSD Nr nrst gage,Avg Daily Disch  Nr nrst gage,Max disch  Nr nrst gage,Cumulative Junes dry,Preceding Yr Dry  Duration (ys),Time since dry,Elevation,Latitude,Longitude,yrs since burned,yrs since Disturbance,avg % canopy cover,Max Depth,Avg Max depth,Avg Sed. Depth, temp,DO,FLOW,Conductivity,Leaf CPOM wet wt,Algae CPOM wet wt,Nitella aquatic veg CPOM wet wt,Total inverts,Total non-insects,Total insects,Total amphibians,Turbellaria,Mollusks ,Crustacea,Ephemerop,Plecoptera,Trichoptera,EPT,Odonata,Coleoptera,Hemiptera,OCH,Megaloptera ,Diptera,Sensitive,Medium,Tolerant,Coll-gath,Coll-filt,Filter-lent,Grazer,Predator,Piercer,Shredder,Semi,Uni,Multi,Fast seas,Non-seas,small,medium,large,Cold steno,Cool/warm eury,Warm eury,Pool,Mixed,Riffle,No wings,Weak flght,Strong flght,Rare drift,Occ-com drift,Abund drift,Cut resp,Gills,Atmospheric,Taxa richness,Pielou's J,rarified # taxa,Biotic index,Thermal index,NMS1,NMS2,NMS3,NMS1 13-20,NMS2 13-20,NMS3 13-20,pH,CPOM PH,CPOM PS,FPOM PH,FPOM PS,PH  AFDM(Org),PH Inorg Sed.,PS  AFDM(Org),PS Inorg Sed.,Pool Soft Chl a,Pool Hard Chl a,Av Curr vel  PH,Av Curr vel  PS,Av Depth  PH,Av Depth  PS,Clad PH,Clad PS,Macro PH,Macro PS,,,,,
25,20096aho,Arroyo Hondo,aho,6,2009,3,6/22/09,Gaviota,0.00,0.00,0.00,0.00,0,0,1,01,1,1,2,1,HO00,0.0037,0.0201,0.5267,0.0005,0.0050,0.1461,0,0,,75,34.489907,-120.143013,5,5,92.2,1.2,0.908,,16,8.24,,825,,,,135,0,135,0,0,0,0,42,2,65,109,7,7,1,15,9,2,75,50,8,40,0,0,7,21,0,66,4,96,34,53,81,46,81,7,43,88,3,84,1,49,0,125,10,77,58,0,3,125,7,19,0.73,15.4,0.3415,15.8540,0.74293,-0.31485,-0.49664,,,,8.01,1.2,8.4,0.1,3.2,0.546,1.256,2.923,10.610,17.98,4.67,0.00,0.00,0.36,0.56,0.0,0.0,3.8,0.0,,,,,
51,20106aho,Arroyo Hondo,aho,6,2010,3,6/22/10,Gaviota,0.00,0.00,0.00,0.00,0,0,1,01,1,1,3,1,HO00,0.0139,0.0773,2.6051,0.0003,0.0675,2.6950,0,0,,75,34.489907,-120.143013,5.78,5.78,91.2,1.2,0.81,0.01,15.6,9.99,,765,,,,274,0,274,1,0,0,0,190,0,58,248,4,20,0,24,2,0,202,50,22,190,0,0,1,27,0,57,3,98,173,210,64,193,77,4,70,204,0,207,3,65,0,250,24,190,68,16,1,253,20,15,0.64,10.9,0.9987,15.7976,0.53435,-0.85269,-0.34987,,,,8.31,1.70,6.59,0.60,3.31,2.122,3.145,2.425,8.402,12.26,55.49,0.042,0.040,0.24,0.35,57.2,3.4,57.2,3.4,,,,,
65,20116aho,Arroyo Hondo,aho,6,2011,3,6/22/11,Gaviota,0.00,0.00,0.00,0.00,0,0,1,01,1,1,3,1,HO00,0.0133,0.2062,17.2166,0.0089,0.1347,9.1355,0,0,,75,34.489907,-120.143013,6.78,6.78,86.9,1.4,0.86,0.01,15.8,10.25,,732,,,,226,0,226,0,0,0,0,173,0,47,220,1,4,0,5,0,1,151,69,5,169,1,0,5,6,0,45,1,65,159,178,47,167,57,1,48,177,0,118,0,108,0,220,6,108,60,58,2,220,4,13,0.65,9.3,0.9814,16.2553,0.65485,-1.02235,0.14688,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,20126aho,Arroyo Hondo,aho,6,2012,3,7/6/12,Gaviota,0.00,0.00,0.00,0.00,0,0,1,01,1,1,3,1,HO00,0.0031,0.0127,0.2642,0.0003,0.0028,0.0730,0,0,,75,34.489907,-120.143013,7.78,7.78,86.2,1.2,0.80,0.04,16.6,8.56,,833,,,,339,1,338,0,0,1,0,129,0,188,317,8,4,3,15,0,6,252,45,42,126,0,4,9,12,1,187,5,253,81,145,194,95,234,10,159,177,3,166,2,171,1,328,10,129,209,1,3,326,10,18,0.60,10.4,0.8015,15.5380,0.7497,-0.33235,-0.24295,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,20136aho,Arroyo Hondo,aho,6,2013,3,6/6/13,Gaviota,0.00,0.00,0.00,0.00,0,0,1,01,1,1,3,1,HO00,0.0017,0.0124,0.2206,0.0001,0.0101,0.2632,0,0,,75,34.489907,-120.143013,8.78,8.78,91.9,1.20,0.82,0.03,16.7,7.2,7,852,88,0,0,656,42,614,1,1,41,0,362,1,166,529,45,26,2,73,12,0,293,297,66,347,0,2,77,71,0,160,23,502,131,428,228,345,264,47,153,301,202,415,40,202,42,585,29,380,268,8,8,602,46,24,0.71,13.3,2.2542,18.3819,0.84739,-0.32689,0.03341,0.7273,-0.26391,1.13288,,,,,,,,,,,,,,,,,,,,,,,,
125,20146aho,Arroyo Hondo,aho,6,2014,3,6/25/14,Gaviota,0.00,0.00,0.00,0.00,0,0,1,01,1,1,3,1,HO00,0.0014,0.0064,0.3993,0.0000,0.0045,0.5242,0,0,,75,34.489907,-120.143013,9.78,9.78,93.6,1.20,0.94,0.05,17.1,2.98,7,958,38,0,0,410,27,383,1,0,27,0,260,0,30,290,17,4,0,21,6,66,75,187,147,260,1,64,32,24,0,30,8,273,128,327,82,301,93,15,5,261,143,371,27,13,27,374,9,343,66,1,1,317,92,17,0.78,11.7,2.3859,19.7077,0.06297,-0.33972,-0.9408,0.28813,-1.16737,0.1405,,,,,,,,,,,,,,,,,,,,,,,,
140,20156aho,Arroyo Hondo,aho,6,2015,3,7/1/15,Gaviota,0.00,0.00,0.00,0.00,0,0,0,00,0,0,4,1,HO00,0.0014,0.0120,1.7528,0.0001,0.0014,0.1879,0,0,,75,34.489907,-120.143013,10.86,10.86,91.8,1.15,0.86,0.047,18,2,3,997,88,27,0,566,133,433,6,0,133,0,160,1,58,219,74,2,5,81,5,128,121,92,342,159,0,128,135,93,0,57,8,369,178,451,104,305,175,75,13,508,34,422,134,16,133,420,13,439,127,0,0,299,267,19,0.70,10.0,3.1581,16.1917,0.16549,0.58712,-0.8432,0.66227,-0.57254,-0.58236,,,,,,,,,,,,,,,,,,,,,,,,
155,20166aho,Arroyo Hondo,aho,6,2016,3,7/13/16,Gaviota,0.00,0.00,0.00,0.00,0,0,0,00,0,0,4,1,HO00,0.0000,0.0109,0.6938,0.0001,0.0046,0.9438,0,0,,75,34.489907,-120.143013,11.86,11.86,92.6,1.17,0.85,0.03,17,2.3,2.8,1008,53,95,0,378,27,351,13,0,27,0,96,0,15,111,139,0,73,212,10,18,14,30,334,96,0,20,33,227,0,15,6,188,184,343,35,132,106,140,5,368,5,360,25,6,27,272,79,354,24,0,0,262,116,16,0.72,11.1,4.2918,16.4550,-0.51633,0.53868,-0.26059,0.11388,-0.12463,-0.4311,,,,,,,,,,,,,,,,,,,,,,,,
170,20176aho,Arroyo Hondo,aho,6,2017,3,6/23/17,Gaviota,0.00,0.00,0.00,0.00,0,0,1,01,1,1,4,1,HO00,0.0093,0.1220,12.0346,0.0031,0.1583,6.3847,0,0,,75,34.489907,-120.143013,12.86,12.86,85.8,1.40,0.85,0.116,19,8,7,899,23,222,0,915,1,914,11,0,1,0,746,0,145,891,3,8,1,12,10,1,170,88,656,746,1,0,11,25,0,143,4,208,702,753,161,708,202,4,110,800,4,787,3,136,1,902,12,725,162,28,2,904,9,21,0.39,8.5,4.4074,15.8568,-0.19989,-0.62374,-0.87498,-0.48755,-1.04984,0.21431,,,,,,,,,,,,,,,,,,,,,,,,
191,20186aho,Arroyo Hondo,aho,6,2018,3,6/21/18,Gaviota,0.00,0.00,0.00,0.00,0,0,1,01,1,1,4,1,HO00,0.0000,0.0099,1.2148,0.0003,0.0155,2.9625,0,0,,75,34.489907,-120.143013,13.86,13.86,91,1.62,0.85,0.02,17,8,8,900,36,161,0,386,6,380,2,0,6,0,293,0,24,317,19,31,0,50,12,1,174,140,57,280,0,1,32,51,0,24,3,214,154,262,109,191,164,16,25,271,75,313,9,66,6,356,24,198,170,18,0,360,26,25,0.71,15.4,1.5342,16.8477,0.21554,-0.8375,-0.35501,0.01685,-0.72357,0.98626,,,,,,,,,,,,,,,,,,,,,,,,
