code,Month,year,burn debris,Avg Daily Disch  Nr nrst gage,Preceding Yr Dry  Duration (ys),Total inverts,Total non-insects,Total insects,Total amphibians,Turbellaria,Mollusks ,Crustacea,Ephemerop,Plecoptera,Trichoptera,EPT,Odonata,Coleoptera,Hemiptera,OCH,Megaloptera ,Diptera,Sensitive,Medium,Tolerant,Coll-gath,Coll-filt,Filter-lent,Grazer,Predator,Piercer,Shredder,Semi,Uni,Multi,Fast seas,Non-seas,small,medium,large,Cold steno,Cool_warm eury,Warm eury,Pool,Mixed,Riffle,No wings,Weak flght,Strong flght,Rare drift,Occ-com drift,Abund drift,Cut resp,Gills,Atmospheric,Taxa richness,Pielou's J,rarified_taxa,Biotic index,Thermal index
bgu,3,2009,0,0.0150,0,565,8,557,0,0,8,0,143,0,336,479,27,42,7,76,0,2,335,173,39,138,0,0,42,40,12,333,1,463,101,177,370,145,389,31,222,315,28,236,47,282,8,525,32,258,294,13,4,530,31,23,0.68,14.7,1.2728,16.1530
ecm,3,2009,0,0.0067,0,510,16,494,2,0,16,0,290,3,131,424,5,29,36,70,0,0,347,82,72,273,0,0,36,71,3,129,10,384,107,354,147,101,397,3,145,346,10,265,49,198,16,430,64,96,365,49,5,425,80,24,0.61,13.7,0.8872,15.5548
ref,3,2009,0,0.0066,0,982,24,958,0,0,24,0,267,0,473,740,12,157,38,207,8,3,590,313,77,254,0,0,84,178,0,466,5,882,93,487,493,229,743,8,481,493,6,496,31,455,24,797,161,353,606,23,0,798,184,26,0.61,12.5,1.4093,15.7808
rom,3,2009,0,0.0150,0,975,26,949,0,26,0,0,202,8,580,790,123,22,13,158,0,1,623,326,18,170,2,0,43,199,2,559,71,826,70,252,715,77,803,87,526,399,42,289,116,570,26,837,112,306,635,34,50,891,34,31,0.63,15.9,1.3725,15.8566
sau,3,2009,0,0.0147,0,546,33,513,97,0,33,0,362,0,17,379,31,87,4,122,1,11,318,84,125,366,0,0,140,108,12,17,24,310,193,461,66,254,249,24,37,475,15,542,73,28,33,424,89,325,208,13,0,413,133,26,0.69,15.2,1.8327,15.9201
sou,3,2009,0,0.0065,0,809,2,807,0,1,1,0,402,7,158,567,36,135,59,230,1,9,446,250,110,368,0,0,95,185,7,153,18,668,121,597,210,238,539,30,204,586,17,517,48,243,2,649,158,321,467,21,13,642,154,36,0.68,17.8,2.2726,15.5717
bgu,6,2009,2,0.0115,0,787,42,745,0,1,41,0,103,0,378,481,96,118,47,261,1,2,321,299,163,101,0,0,127,174,7,377,14,620,153,352,432,229,482,76,275,468,44,343,55,388,42,657,88,465,300,22,3,649,135,29,0.70,15.7,2.1137,16.8661
ecm,6,2009,0,0.0050,0,445,172,273,18,0,172,0,20,0,78,98,17,8,132,157,18,0,44,66,331,20,0,0,193,175,2,73,2,123,316,339,102,188,238,15,35,401,5,245,178,40,172,131,142,381,64,0,5,128,312,17,0.71,12.1,2.4836,16.0644
ref,6,2009,0,0.0051,0,750,43,707,4,1,42,0,35,0,111,146,43,202,228,473,88,0,67,372,311,29,0,0,101,512,3,109,4,478,268,542,208,250,454,46,187,559,4,609,47,98,43,321,386,586,164,0,3,323,424,22,0.71,12.3,2.9490,17.0780
rom,6,2009,0,0.0134,0,993,12,981,1,12,0,0,76,1,282,359,530,40,50,620,0,2,695,220,73,54,1,0,25,628,4,282,407,515,66,186,802,62,459,467,673,247,68,189,443,362,12,443,538,650,337,6,15,887,91,27,0.60,13.1,1.3286,16.5974
