1,Sitetime,Stream,code,Month,year,YrMo,Stream#,Date,Fire,Rip M-H burn,Rip burn,Basin M-H burn,Basin burn,burn debris,BurnDfRef,trout,Burntrtref,Burn trout,Burn trout  w all,yrs code,StreamDried,NEW Gage,SAN JOSE DISCHARGE,SAN JOSEAvg Daily Disch,SAN JOSE Max disch,DOSD Nr nrst gage,Avg Daily Disch  Nr nrst gage,Max disch  Nr nrst gage,Cumulative Junes dry,Preceding Yr Dry  Duration (ys),Time since dry,Elevation,Latitude,Longitude,yrs since burned,yrs since Disturbance,avg % canopy cover,Max Depth,Avg Max depth,Avg Sed. Depth, temp,DO,FLOW,Conductivity,Leaf CPOM wet wt,Algae CPOM wet wt,Nitella aquatic veg CPOM wet wt,Total inverts,Total non-insects,Total insects,Total amphibians,Turbellaria,Mollusks ,Crustacea,Ephemerop,Plecoptera,Trichoptera,EPT,Odonata,Coleoptera,Hemiptera,OCH,Megaloptera ,Diptera,Sensitive,Medium,Tolerant,Coll-gath,Coll-filt,Filter-lent,Grazer,Predator,Piercer,Shredder,Semi,Uni,Multi,Fast seas,Non-seas,small,medium,large,Cold steno,Cool/warm eury,Warm eury,Pool,Mixed,Riffle,No wings,Weak flght,Strong flght,Rare drift,Occ-com drift,Abund drift,Cut resp,Gills,Atmospheric,Taxa richness,Pielou's J,rarified # taxa,Biotic index,Thermal index,NMS1,NMS2,NMS3,NMS1 13-20,NMS2 13-20,NMS3 13-20,pH,CPOM PH,CPOM PS,FPOM PH,FPOM PS,PH  AFDM(Org),PH Inorg Sed.,PS  AFDM(Org),PS Inorg Sed.,Pool Soft Chl a,Pool Hard Chl a,Av Curr vel  PH,Av Curr vel  PS,Av Depth  PH,Av Depth  PS,Clad PH,Clad PS,Macro PH,Macro PS
2,200812aho,Arroyo Hondo,aho,12,2008,200812,3,12/13/08,Gaviota,0,0,0,0,0,0,1,01,1,1,2,1,HO00,0.0133,0.0083,0.0351,0.0031,0.0018,0.0092,,0,,75,34.489907,-120.143013,4.5,4.5,78.89,0.93,0.79,,11.60,10.12,,784.00,,,,356,0,356,0,0,0,0,229,0,108,337,1,9,0,10,6,3,242,106,7,214,0,1,23,14,0,103,1,336,19,239,117,47,308,1,51,304,1,273,9,73,0,352,4,90,259,7,4,346,6,18,0.57,11.2,0.5166,15.2664,,,,,,,8.34,5.83,45.5,0.92,5.4,1.732,5.468,5.089,22.303,20.64,10.23,0.020,0.010,0.33,0.66,0.0,0.0,0.0,0.0
4,200812ecm,El Capitan usual,ecm,12,2008,200812,8,12/16/08,,0,0,0,0,0,0,0,00,0,0,4,1,HO00,0.0411,0.0119,0.2466,0.0109,0.0028,0.0681,,0,,124,34.482938,-120.017658,53.25,53.25,44.59,0.55,0.39,,10.00,10.40,,590.50,,,,176,17,159,0,0,17,0,58,1,12,71,2,9,71,82,5,1,29,28,119,58,1,0,20,83,2,12,2,52,122,155,21,62,111,3,15,157,4,132,26,18,17,81,78,137,32.6,6,2,80,94,20,0.78,15.9,2.4211,15.5731,,,,,,,8.20,3.72,16.7,0.14,2.7,0.455,1.180,4.331,21.654,15.68,4.45,0.068,0.032,0.21,0.20,0.0,0.0,0.0,0.0
6,200812ref,Refugio,ref,12,2008,200812,6,12/13/08,,0.00,0.00,0.00,0.00,0,0,0,00,0,0,4,1,HO00,0.0133,0.0083,0.0351,0.0031,0.0018,0.0092,,0,,126,34.506218,-120.064933,53.25,53.25,71.76,0.50,0.41,,10.60,9.61,,644.00,,,,290,12,278,0,0,12,0,30,2,82,114,3,129,26,158,6,0,16,229,44,17,0,0,46,140,4,83,15,227,47,184,105,163,124,2,98,191,0,230,14,45,12,142,136,250,36,4,2,142,146,19,0.73,14.2,2.1266,17.1472,,,,,,,8.29,1.29,31.9,0.20,8.2,0.812,4.547,8.120,51.969,12.80,7.04,0.010,0.012,0.26,0.32,0.0,0.0,0.0,0.0
7,200812rom,Romero,rom,12,2008,200812,25,12/19/08,,0.00,0.00,0.00,0.00,0,0,0,00,0,0,4,1,RS02,0.0212,0.0124,0.2466,0.0131,0.0113,0.0525,0,0,,360,34.458571,-119.591069,37.2,37.2,97.97,0.55,0.40,,12.90,9.28,,811.00,,,,747,57,690,0,57,0,0,386,6,183,575,76,18,21,115,0,0,428,291,24,373,0,0,18,169,2,185,42,501,200,478,265,153,541,49,236,473,34,273,96,374,57,610,80,156,466,125,66,645,36,25,0.69,13.1,2.3624,15.4455,,,,,,,8.27,3.50,22.3,0.68,5.0,1.083,1.083,6.496,25.010,30.90,6.42,0.010,0.006,0.29,0.17,0.0,0.0,0.0,0.0
8,200812sau,San Antonio upper,sau,12,2008,200812,13,12/20/08,,0.00,0.00,0.00,0.00,0,0,0,00,0,0,4,1,Mission ,0.0198,0.0125,0.2466,0.0096,0.0066,0.1577,,0,,138,34.467248,-119.773120,18.5,18.5,46.76,0.42,0.29,,11.90,5.29,,1942.50,,,,249,75,174,0,1,74,0,46,2,24,72,11,28,48,87,1,14,7,50,192,48,0,12,74,85,4,26,7,78,164,201,48,159,85,5,20,227,2,163,81,5,75,95,79,243,6,0,3,82,164,18,0.76,13.4,4.2353,19.1863,,,,,,,7.38,3.35,10.6,0.67,2.1,0.289,0.938,4.114,45.365,14.67,2.92,0.002,0.000,0.17,0.22,0.0,0.0,8.0,0.0
9,200812sjo,San Jose,sjo,12,2008,200812,10,12/17/08,,0.00,0.00,0.00,0.00,0,0,1,01,1,1,4,1,San Jose,0.0297,0.0122,0.2466,0.0297,0.0122,0.2466,,0,,321,34.492925,-119.803048,53.25,53.25,84.19,1.20,0.83,,10.20,10.96,,737.50,,,,232,12,220,0,1,11,0,26,4,180,210,3,6,0,9,1,0,55,163,14,23,2,0,18,15,0,174,3,198,31,46,186,41,189,2,35,193,4,160,17,55,12,213,7,176,51,5,13,205,14,22,0.52,13.6,1.2147,17.0235,,,,,,,8.49,3.00,34.1,0.57,1.7,0.514,1.786,3.681,28.150,23.61,7.31,0.030,0.012,0.33,0.44,0.0,0.0,0.0,0.0
10,200812sou,San Onofre upper,sou,12,2008,200812,2,12/12/08,Gaviota,0.00,0.00,0.00,0.00,0,0,0,00,0,0,3,1,HO00,0.0113,0.0083,0.0351,0.0026,0.0017,0.0092,0,0,,94,34.481451,-120.189003,4.5,4.5,67.03,0.96,0.66,,12.50,9.49,,864.00,,,,336,2,334,0,2,0,0,188,1,46,235,10,46,38,94,5,0,105,72,158,180,0,0,26,70,14,46,8,183,144,253,82,156,172,7,44,282,9,244,30,62,2,262,72,216,118,2,3,267,66,24,0.73,16.1,3.5334,15.6649,,,,,,,8.24,4.15,15.5,1.03,6.6,0.474,2.577,6.713,47.638,15.31,4.74,0.026,0.016,0.17,0.44,0.0,0.0,0.0,0.0
11,200812sys,San Ysidro,sys,12,2008,200812,24,12/19/08,,0.00,0.00,0.00,0.00,0,0,1,01,1,1,4,1,RS02,0.0212,0.0124,0.2466,0.0131,0.0113,0.0525,0,0,,199,34.452924,-119.621784,91.5,44.3,89.59,0.78,0.52,,13.50,9.56,,804.50,,,,164,17,147,0,6,11,0,30,1,86,117,21,8,0,29,0,1,66,83,14,28,3,1,19,31,0,82,10,109,44,55,108,52,100,11,68,84,11,32,21,110,17,133,14,66,72,26,12,136,16,21,0.71,15.3,1.8571,16.6840,,,,,,,8.32,10.03,18.4,1.13,4.6,0.920,2.490,7.146,38.760,35.54,12.12,0.002,0.002,0.17,0.17,0.0,0.0,0.0,0.0
12,20093aho,Arroyo Hondo,aho,3,2009,20093,3,3/27/09,Gaviota,0,0,0,0,0,0,1,01,1,1,2,1,HO00,0.0125,0.0260,0.5267,0.0029,0.0067,0.1461,,0,,75,34.489907,-120.143013,4.75,4.75,81.89,1.40,0.90,,13.00,9.27,,740.00,,,,490,0,490,0,0,0,0,168,1,312,481,1,5,0,6,2,1,394,95,1,142,0,0,31,6,0,311,1,403,86,174,316,118,371,1,285,205,0,140,3,347,0,488,2,89,368,33,2,487,1,14,0.55,7.9,0.5690,15.7504,1.11129,-0.40139,0.10981,,,,8.25,1.0,9.7,0.0,3.7,0.346,0.758,1.732,9.419,9.02,2.25,0.03,0.034,0.29,0.45,0.0,0.4,0.0,0.4
15,20093ecm,El Capitan usual,ecm,3,2009,20093,8,3/26/09,,0,0,0,0,0,0,0,00,0,0,4,1,HO00,0.0119,0.0260,0.5267,0.0028,0.0067,0.1461,,0,,124,34.482938,-120.017658,53.5,53.5,42.30,0.50,0.38,,14.90,9.82,,637.00,,,,510,16,494,2,0,16,0,290,3,131,424,5,29,36,70,0,0,347,82,72,273,0,0,36,71,3,129,10,384,107,354,147,101,397,3,145,346,10,265,49,198,16,430,64,96,365,49,5,425,80,24,0.61,13.7,0.8872,15.5548,0.85274,-0.57383,0.41122,,,,8.15,1.6,6.8,0.4,3.7,0.433,1.047,1.624,4.980,5.07,2.20,0.026,0.01,0.19,0.22,0.0,0.0,0.0,0.0
