Response,Predictor,Estimate,Std.Error,DF,Crit.Value,P.Value,Std.Estimate,psymbol
trout,temp,-0.3501,0.7332,46,-0.4775,0.633,-0.1266,
trout,avg_max_depth,11.5609,6.7477,46,1.7133,0.0867,0.6694,
trout,flow,0.3415,0.5552,46,0.6151,0.5385,0.1407,
trout,do,0.2334,0.483,46,0.4833,0.6289,0.1337,
avg_max_depth,flow,0.027,0.0106,36.9564,2.554,0.0149,0.1921,*
shredder,temp,0.1641,0.0172,46,9.5215,0,0.2346,***
shredder,avg_max_depth,-0.7352,0.1474,46,-4.987,0,-0.1683,***
shredder,do,0.1851,0.0112,46,16.4565,0,0.4191,***
shredder,leaf_cpom_wet_wt,8.00E-04,3.00E-04,46,3.0132,0.0026,0.0386,**
temp,avg_canopy_cover,-0.1294,0.0245,8.671,-5.2873,6.00E-04,-0.6395,***
temp,flow,-0.2095,0.1016,30.6172,-2.0625,0.0477,-0.2388,*
do,flow,0.7388,0.1438,16.5294,5.138,1.00E-04,0.5317,***
do,temp,0.1548,0.1734,12.8956,0.8926,0.3884,0.0977,
leaf_cpom_wet_wt,temp,-0.1582,0.0234,46,-6.7707,0,-0.326,***
leaf_cpom_wet_wt,avg_canopy_cover,0.0687,0.0073,46,9.3466,0,0.6992,***
leaf_cpom_wet_wt,flow,-0.2365,0.0171,46,-13.8368,0,-0.5554,***
~~avg_max_depth,~~do,-0.2709,-,46,-1.8456,0.0359,-0.2709,*
~~trout,~~shredder,0.3827,-,46,2.7162,0.0047,0.3827,**
~~avg_max_depth,~~avg_canopy_cover,-0.1273,-,46,-0.8418,0.2023,-0.1273,
