Response,Predictor,Estimate,Std.Error,DF,Crit.Value,P.Value,Std.Estimate,psymbol
trout,temp,-0.3501,0.7332,46,-0.4775,0.633,-0.1266,
trout,avg_max_depth,11.5609,6.7477,46,1.7133,0.0867,0.6694,
trout,flow,0.3415,0.5552,46,0.6151,0.5385,0.1407,
trout,do,0.2334,0.483,46,0.4833,0.6289,0.1337,
avg_max_depth,flow,0.027,0.0106,36.9564,2.554,0.0149,0.1921,*
shredder,temp,0.1336,0.0178,46,7.5003,0,0.1882,***
shredder,avg_max_depth,-0.3458,0.1618,46,-2.1379,0.0325,-0.078,*
shredder,do,0.2337,0.014,46,16.7131,0,0.5216,***
shredder,leaf_cpom_wet_wt,1.00E-04,3.00E-04,46,0.2134,0.831,0.003,
shredder,flow,-0.1063,0.0176,46,-6.0464,0,-0.1707,***
temp,avg_canopy_cover,-0.1294,0.0245,8.671,-5.2873,6.00E-04,-0.6395,***
temp,flow,-0.2095,0.1016,30.6172,-2.0625,0.0477,-0.2388,*
do,flow,0.7388,0.1438,16.5294,5.138,1.00E-04,0.5317,***
do,temp,0.1548,0.1734,12.8956,0.8926,0.3884,0.0977,
leaf_cpom_wet_wt,temp,-0.1449,0.0237,46,-6.1125,0,-0.302,***
leaf_cpom_wet_wt,avg_canopy_cover,0.0733,0.0073,46,10.1074,0,0.755,***
leaf_cpom_wet_wt,flow,-0.2574,0.0177,46,-14.5691,0,-0.6116,***
leaf_cpom_wet_wt,avg_max_depth,1.1119,0.2412,46,4.6095,0,0.3711,***
~~avg_max_depth,~~do,-0.2709,-,46,-1.8456,0.0359,-0.2709,*
~~trout,~~shredder,0.386,-,46,2.744,0.0044,0.386,**
~~avg_max_depth,~~avg_canopy_cover,-0.1273,-,46,-0.8418,0.2023,-0.1273,
