Response,Predictor,Estimate,Std.Error,DF,Crit.Value,P.Value,Std.Estimate,psymbol
trout,do,0.1244,0.3875,46,0.321,0.7482,0.0885,
trout,temp,-0.1656,0.5876,46,-0.2818,0.7781,-0.0744,
trout,flow,0.1056,0.5,46,0.2112,0.8327,0.0541,
trout,avg_daily_disch_nr_nrst_gage,-1.1238,12.4594,46,-0.0902,0.9281,-0.015,
trout,biotic_index,-0.6039,0.4872,46,-1.2395,0.2151,-0.2664,
trout,avg_max_depth,8.7944,3.9588,46,2.2215,0.0263,0.6325,*
do,algae_cpom_wet_wt,-0.0027,0.0014,33.3449,-2.007,0.0529,-0.2085,
do,temp,0.2487,0.1739,35.2759,1.4304,0.1614,0.157,
do,flow,0.8279,0.167,35.6643,4.9572,0,0.5958,***
do,avg_max_depth,-1.1879,1.145,35.021,-1.0375,0.3066,-0.1201,
do,avg_daily_disch_nr_nrst_gage,5.966,7.6464,39.1026,0.7802,0.4399,0.1118,
algae_cpom_wet_wt,avg_canopy_cover,0.2387,0.019,46,12.5706,0,0.5579,***
algae_cpom_wet_wt,flow,-0.6579,0.0588,46,-11.1811,0,-0.3546,***
algae_cpom_wet_wt,avg_daily_disch_nr_nrst_gage,-8.8615,1.594,46,-5.5592,0,-0.1244,***
algae_cpom_wet_wt,avg_max_depth,9.5778,0.7336,46,13.0563,0,0.7253,***
algae_cpom_wet_wt,biotic_index,0.9208,0.033,46,27.8615,0,0.4276,***
algae_cpom_wet_wt,temp,0.1281,0.0242,46,5.2847,0,0.0606,***
biotic_index,flow,-0.1876,0.1261,42.9997,-1.4875,0.1442,-0.2177,
biotic_index,avg_daily_disch_nr_nrst_gage,9.5287,4.4234,41.3188,2.1542,0.0371,0.2879,*
